title,authors,pdf_link,release_date
On Liquidity Mining for Uniswap v3,"Jimmy Yin, Mac Ren",http://arxiv.org/pdf/2108.05800v1,2021-08-12
"Dynamic, Private, Anonymous, Collateralizable Commitments vs. MEV","Conor McMenamin, Vanesa Daza",http://arxiv.org/pdf/2301.12818v1,2023-01-30
EIP-4844 Economics and Rollup Strategies,"Davide Crapis, Edward W. Felten, Akaki Mamageishvili",http://arxiv.org/pdf/2310.01155v1,2023-10-02
Price of MEV: Towards a Game Theoretical Approach to MEV,"Bruno Mazorra, Michael Reynolds, Vanesa Daza",http://arxiv.org/pdf/2208.13464v1,2022-08-29
Time Moves Faster When There is Nothing You Anticipate: The Role of Time in MEV Rewards,"Burak Öz, Benjamin Kraner, Nicolò Vallarano, Bingle Stegmann Kruger, Florian Matthes, Claudio Juan Tessone",http://arxiv.org/pdf/2307.05814v1,2023-07-11
A Commitment Folk Theorem,"Adam Tauman Kalai, Ehud Kalai, Ehud Lehrer, Dov Samet",https://www.microsoft.com/en-us/research/wp-content/uploads/2016/11/2010-A_Commitment_Folk_Theory.pdf,2016-11-01
"Wendy, the Good Little Fairness Widget",Klaus Kursawe,https://eprint.iacr.org/2020/885,2020-07-16
A Short Note on Setting Swap Parameters,"Nihar Shah, Lucas Baker, Suraj Srinivasan, Alex Toberoff",http://arxiv.org/pdf/2305.10624v1,2023-05-18
Incentive Schemes for Rollup Validators,"Akaki Mamageishvili, Edward W. Felten",http://arxiv.org/pdf/2308.02880v1,2023-08-05
Time is Money: Strategic Timing Games in Proof-of-Stake Protocols,"Caspar Schwarz-Schilling, Fahad Saleh, Thomas Thiery, Jennifer Pan, Nihar Shah, Barnabé Monnot",http://arxiv.org/pdf/2305.09032v1,2023-05-15
Optimality Despite Chaos in Fee Markets,"Stefanos Leonardos, Daniël Reijsbergen, Barnabé Monnot, Georgios Piliouras",http://arxiv.org/pdf/2212.07175v2,2022-12-14
Cooperative AI via Decentralized Commitment Devices,"Xinyuan Sun, Davide Crapis, Matt Stephenson, Barnabé Monnot, Thomas Thiery, Jonathan Passerat-Palmbach",http://arxiv.org/pdf/2311.07815v1,2023-11-14
Stackelberg Attacks on Auctions and Blockchain Transaction Fee Mechanisms,"Daji Landis, Nikolaj I. Schwartzbach",http://arxiv.org/pdf/2305.02178v1,2023-05-03
Analyzing Geospatial Distribution in Blockchains,"Shashank Motepalli, Hans-Arno Jacobsen",http://arxiv.org/pdf/2305.17771v1,2023-05-28
Liquidity Math in Uniswap v3,Atis Elsts,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4575232,2023-09-20
Non-Atomic Arbitrage in Decentralized Finance,"Lioba Heimbach, Vabuk Pahari, Eric Schertenleib",http://arxiv.org/pdf/2401.01622v1,2024-01-03
QNNVerifier: A Tool for Verifying Neural Networks using SMT-Based Model Checking,"Xidan Song, Edoardo Manino, Luiz Sena, Erickson Alves, Eddie de Lima Filho, Iury Bessa, Mikel Lujan, Lucas Cordeiro",http://arxiv.org/pdf/2111.13110v1,2021-11-25
"LIQUIDITY IN EQUITY MARKETS Characteristics, Dynamics, and Implications for Market Quality",CFA,https://www.cfainstitute.org/-/media/documents/article/position-paper/liquidity-in-equity-markets-characteristics-dynamics-implications-for-market-quality.pdf,2015-09-21
"Constant Function Market Making, Social Welfare and Maximal Extractable Value","Bruno Mazorra, Nicolás Della Penna",http://arxiv.org/pdf/2211.07220v2,2022-11-14
The AI Economist: Improving Equality and Productivity with AI-Driven Tax Policies,"Stephan Zheng, Alexander Trott, Sunil Srinivasa, Nikhil Naik, Melvin Gruesbeck, David C. Parkes, Richard Socher",http://arxiv.org/pdf/2004.13332v1,2020-04-28
Demystifying Exploitable Bugs in Smart Contracts,"Zhuo Zhang, Brian Zhang, Wen Xu, Zhiqiang Lin",https://www.cs.purdue.edu/homes/zhan3299/res/ICSE23.pdf,2023-02-14
FLAIR: A Metric for Liquidity Provider Competitiveness in Automated Market Makers,"Jason Milionis, Xin Wan, Austin Adams",http://arxiv.org/pdf/2306.09421v1,2023-06-15
"Credible, Optimal Auctions via Blockchains","Tarun Chitra, Matheus V. X. Ferreira, Kshitij Kulkarni",http://arxiv.org/pdf/2301.12532v1,2023-01-29
