00:00:00.170 - 00:00:02.426, Speaker A: Ola Sir Richard Una de los developer.
00:00:02.458 - 00:00:05.338, Speaker B: Advocates Aki and chailing gloves Yoi Tenguago.
00:00:05.354 - 00:00:15.518, Speaker A: Real mente paracompartira emos lanzado Novo producto chailing factions Kejibal podiones Cryptographicas Atoaplicacion de.
00:00:15.524 - 00:00:26.754, Speaker B: Centralisada como sevesto descobaramoslo it jailing factions.
00:00:26.802 - 00:00:47.218, Speaker A: Proportionate to contract intelligent access own infrastructure at the computo concept permita to contradict separado una vesquelos tienn sus rasultados eldon luego informacionusando os redos I dewebel rasultado.
00:00:47.234 - 00:00:50.310, Speaker B: Finala to contra intelligente to codico.
00:02:03.970 - 00:03:01.442, Speaker A: Description Henri Adon Mimakina repository El factions as dependencies Encryptados La radio sibol bemo sal readme poemos visitor hithab punta.com Bara Settings.
00:03:01.506 - 00:03:04.882, Speaker B: Id for demos configurator on webo token.
00:03:05.026 - 00:03:06.338, Speaker A: Bien entrances are demos.
00:03:06.354 - 00:03:13.960, Speaker B: Click and configure on Nuevo Token Iberamosto Pademos Creole number del token functions example.
00:03:14.570 - 00:03:57.842, Speaker A: Establisher la fetcha de cadus per quanto tempostable descriptions. Guardo eliminates the Tokena deos compartirga atos.
00:03:57.906 - 00:03:58.630, Speaker B: Chest.
00:04:01.930 - 00:04:10.390, Speaker A: Configur las variables dentono la Forman casia este encrypted informa.
00:04:17.730 - 00:04:26.858, Speaker B: Estop encrypto BnMos.
00:04:26.874 - 00:05:04.666, Speaker A: Configured monoparista tutorial necessitamos Configured privala necessitamos configured cap in necessitarimos nine coin market cap Punta Combarape combo configuramosto usamos NFA.
00:05:04.698 - 00:05:07.440, Speaker B: Keys nfa NSA set.
00:05:08.130 - 00:05:13.870, Speaker A: This is the quinos pregunta de Bariamos Ingressar Asiki Clave.
00:05:15.970 - 00:05:21.818, Speaker B: Luego nos pedira ingressar.
00:05:21.834 - 00:05:51.230, Speaker A: Mi valoriala key ividas perque non memento pero pondre clave establish established Camos Configuration Center Yemos terminado Ingres perques configurado where the escribi renape.
00:05:53.090 - 00:05:55.406, Speaker B: View yes to the.
00:05:55.428 - 00:06:18.950, Speaker A: Most Strato configurado Asika Claveda key real mentor Continuity Configurator Laurel represent the polygon Mumbai la piki the Polygon Escani Lapiki the coin market cap entrances Config eso Estasara Configurator.
00:06:28.250 - 00:07:16.722, Speaker B: Punto Hota is the archivo Caesaria bascript Como este is super Sensio ejacutamos el valoro pasamos de nuevo contrado.
00:07:16.786 - 00:07:56.070, Speaker A: Asique tenemosia bueno configuration de solicito de fuciones la prime apart.
00:07:59.610 - 00:08:00.674, Speaker B: From the Verco.
00:08:00.722 - 00:08:16.774, Speaker A: Estroturado aqui Configuramos Noestro contrato request id quaquira rospues construimos noestro contrato iluencion de Jacusion de solicitude Esto is lociento real.
00:08:16.812 - 00:08:26.218, Speaker B: Mente sajamada la red de oraculus asique initialisa una solicitude caragasion de Cho Asimo.
00:08:26.234 - 00:08:40.778, Speaker A: Says request id siestas familiar dilasimilarisituda regressor.
00:08:40.794 - 00:08:45.410, Speaker B: And Westro contrato la trancion estesta fulfill.
00:08:45.490 - 00:08:58.418, Speaker A: Request entonces alimos Yasimos La solicito de jekuta contra complemento de la solicito de smois and sidio todo kevasar la ultimarrespo.
00:08:58.434 - 00:09:10.360, Speaker B: Esta los a rodego emitter unevento poemos hardhat functions simulate you.
00:09:12.890 - 00:09:39.626, Speaker A: Ilokera estoes local mental machina local aura podemos verque regressoaki este valor de codificado de unmigionialgo asique ssira el valorial mente se calculapod este he employed the tenemos noestro monto total de interes berdades composto continu local mente como implementamos real mente la formad implementar.
00:09:39.658 - 00:09:45.898, Speaker B: Los con napa functions deploy client tendrimos.
00:09:45.914 - 00:10:11.666, Speaker A: Capacar la red and la quemos implementer lo para estobas polygon mumbai seguemos atelante la verificaramos enthusia commando Real Mente implementer and Westro Contra contrato de consumidoreste functions Consumer puntosol elared de Mumbai tendrimosqueras confirmation este loces itendremos noestro contrato verificadoscanuestro contrado.
00:10:11.698 - 00:10:25.206, Speaker B: El ciente pasomos acerlocon napa functions sub create usamos nape functions sub create Polemos.
00:10:25.238 - 00:10:33.594, Speaker A: And dicarmos la canidad sera quanto link bamosa Prover and Noestra subscription iluego la direction del contrato de beser la direction.
00:10:33.642 - 00:10:39.306, Speaker B: De contrato cacavamos implementer prescionamo center secreta.
00:10:39.338 - 00:11:07.282, Speaker A: Is a subscription paranosotros no mentor las confirmationes de los blockes e nostra subscriptionista confirmada aura algae de subscription Creado and mi caso el two Jose contrato asique emos implementado contra de consumidor emos creadona subscription comafuncion and la red de oraculos.
00:11:07.346 - 00:11:10.530, Speaker B: Los amoscon nape is herhat Functions request.
00:11:10.610 - 00:12:06.726, Speaker A: Pasamostra red nova mente polygon mumbai indicamos radio contrato SSL contrato camos implementado estamos embiando noestra solicitude I recipient configuration de.
00:12:06.748 - 00:12:26.058, Speaker B: Solicit tod enthusiastic configurada entones creada alguna.
00:12:26.074 - 00:12:57.326, Speaker A: Solicito desperanostotros verdad estason la solicito de sape realis consultarimos quatros una de coin market cap una de coin gecko, una de paprika, una de ape conor solo paraver capacitanos la susaremos aramositudes unavesque as.
00:12:57.348 - 00:13:01.646, Speaker B: Puertas Anton says como bueno ayompar de.
00:13:01.668 - 00:13:15.758, Speaker A: Cosasitamositamostra configuration de solicito de funciones notaras esteculos sos la cusamos estalinia Ives commentarimos la de avaco esto cambia fuente de.
00:13:15.764 - 00:13:21.162, Speaker B: Noestro JavaScript laudracosa skemplo de ape request.
00:13:21.226 - 00:14:13.506, Speaker A: Necessita isos coestro secretos de nostrogisto Sando Nuant and amos in westacino Valor mascara, salgo mass complainjo conf burado tendriasque cambia.
00:14:13.538 - 00:14:24.726, Speaker B: To contrato tambien, pero podemos vera valor valor. The bitcoin podemos vera costo de la.
00:14:24.748 - 00:14:34.550, Speaker A: Transactional emosutilisada function as the chailing parax.
00:14:35.770 - 00:14:38.350, Speaker B: On chain super padroso.
00:14:41.170 - 00:14:46.906, Speaker A: Real mente pero mutual potential conchiling functions as I casal.
00:14:46.938 - 00:14:49.450, Speaker B: I construe it la proxima.
