00:00:00.160 - 00:00:02.410, Speaker A: Salute Leo Salute Pascal.
00:00:06.430 - 00:01:37.620, Speaker B: Podcast Leopodcast Escalpy podcast Kimonofon keep artists Ecosystem Crypto Webtoon General don't suck in the goods podcast Spotify YouTube Flashback the Tompacore Scooter okay don't cover commerce to present a kitchen.
00:01:42.760 - 00:03:17.970, Speaker A: Yes system francofan pleasure participate Donkumo developed France cans from your fuck bitcoin the Vetozalantour de Sanson doll Donkey said the milesteria domainer professional via cryptosphere.
00:03:21.910 - 00:03:49.620, Speaker B: Okay top Jukua Escutakuni integrate on crypto cryptosphere professional ecosystem.
00:03:58.760 - 00:05:14.100, Speaker A: Technique builder et cetera accessible um global mall debut Monte Park Emeric mature those person don't confederate development.
00:06:01.620 - 00:06:08.280, Speaker B: Um parallel avecu a onion avec activity.
00:06:13.220 - 00:06:58.060, Speaker A: On the data mountain different DAP, etc. Don't quite confuse full time deputy on alternance don't convert and polycollect okay.
00:08:50.960 - 00:08:53.940, Speaker B: Finance decentralization.
00:09:12.160 - 00:21:24.420, Speaker A: Blockchain masae no actual abs in associated development et cetera kiss one fed they sold the mini competition to develop this application global monitor concept yeah, a global monitor by young class monkey category the builders on ecosystem ESC Planche Parry blockchain week on the Milvand Venture Paraswap kit is sponsored global warfare in general track Intrac Paraswap and track Domino's venture a educulate on ecosystem is on blockchain separate marketing technology Diarrhea Deja Fett on weekend ah elasticatonket organization for Ponuna Premier may notice yeah building features Paspha donor module gas refund Paraswap convert news from a developer so we can last additional as modula Psped Venia Rovant Gaz Refund the culture Pork Paraswap the Parasite Backend Build nonstop let's see feedback on super excellence the builders can use the features convey blockchain week don't care cryptosphere don't men Oppress let's go this momentum Massage Lerosis on testnet crypto Masa project access Batarive for Simon to prove the trick, they develop a features correspond on the butt process the cat on did they come on cycles period the commons could you like real architecture the Tada political mechanism Poor Massa blockchain Massa Navigator Centralize Cavuso Frontend Compromise Global Moldiva global money transaction as programatic Kiva permit the launch contraction savarial problem solos don't global more portusque action Savad Monday Savatud mode CQF chain Ude server Centralize UdeS transaction short on smart contract pocket on execute classes decentralized de la cushola suppose certain problem the security application Miami Activate Swarm San Francisco global money continually different project on a fish veneer Continuous Education a commercial non global Mon Calzone next step are prayer.
00:21:26.720 - 00:23:20.580, Speaker B: Excuse me stay life City Dominicato Masa Donkshe Poland Smart contract autonomy developing Pisco only depend on an actor the Ecosystem the cause actor comes via the donation Pascal may on Parlatu on paramatima.
00:24:01.130 - 00:25:59.680, Speaker A: Yeah Educate the Valor proposal to know Canela Blockchain Tutlidomis Gone Chain director Moz Base manipulate manipulate but on scalar Decalado mechanism on chain newly the Global Mon Secure mechanism the primitive.
00:26:03.660 - 00:26:54.330, Speaker B: Okay massage imagine developers massive bianto main nether Lumen and the massa active de la sortif in Almond jamasa commercial hello porkwise.
00:27:17.710 - 00:28:23.000, Speaker A: Automatic similar in adventure parasite techniques on defycosystem the launchman Massaprovn massan or a pal main net kisalai nivola point is they block strategic.
00:30:02.910 - 00:31:23.690, Speaker B: On the top doncla effectima og tompla la party la party back poor verifica to save okay autonomous liquidity yeah Longasha SAS compatible VM dubo development area technique.
00:31:50.740 - 00:33:29.680, Speaker A: Global moliday strategy for incentive lunch french more atrovium topsimo that compatible application is the wallet the mania ultra facile technique is some kind of measure party decaid about the project chain porn may travel mechanism la corn I sanctioned beta testing beta sister application feedback.
00:34:00.090 - 00:34:58.370, Speaker B: Okay um dispute aviku focus shormasa developers from Asa done a yeah prepodont uv technique monologue limitation Chuvadut development.
00:35:09.110 - 00:37:01.230, Speaker A: Massa Travay actual movie comparable developer Grass Ludicia management liquidity provider proposal the performance camp as deployees show the liquidity to set Patila trading on the Midland gap playing.
00:37:03.130 - 00:37:03.990, Speaker B: Okay.
00:38:27.210 - 00:38:30.990, Speaker A: Malem Zapotechno Mr. Sanko reflection.
00:38:44.450 - 00:39:36.890, Speaker B: Okay um Camper Blue personnel don't take present ecosystem don't see Cryptosphere Ponki contributed on ecosystem ecosystem Crypto.
00:40:12.740 - 00:41:05.620, Speaker A: Eight veneer sharks for me so member prepared to function Mr. Rama Bartone practice Avramo Lizamni and Metro Crypto Circumflex Scuttapodos.
00:43:02.380 - 00:43:52.900, Speaker B: Entrepreneurial epcute SAP Tetra Akalka for a certain builder de project as developer Donkey anchor earlier poster podcast is Vitalis.
00:43:54.840 - 00:44:18.160, Speaker A: NASA Basket don't draw the podcast Come disease Affair don't don't mem C Jamie I'm contacting don't take on podcast.
